eventName,year,finishPlace,adjustedTime,lane,screenFile,seed,boatLabel,adjustedTimeString,boatId,handicap,penalty,adjustedTimeDelta,rawTimeDelta,adjustedTimePercent,rawTimePercent,laneLong,penaltyCode,boatStatus,rawTimeString,handicapString,penaltyString,adjustedTimeDeltaString,rawTimeDeltaString,avg_age,adjustedTimePercentString,rawTimePercentString,photoId,composite,longName,displayNum,altTitle,sp1Delta,sp2Delta,sp3Delta,dtUpdated,sp1Label,sp2Label,sp3Label,sp4Label,distanceRowed,distanceDelta,distancePercent,detailsUrl,orderOfFinishPlace,sp4RawTime,sp1RawTime,sp1RawTimeString,sp1Location,sp1Distance,sp2RawTime,sp2RawTimeString,sp2Location,sp2Distance,sp3RawTime,sp3RawTimeString,sp3Location,sp3Distance,sp4RawTimeString,sp4Location,sp4Distance,orgCount,sp1Split,sp1Place,sp2Split,sp2Place,sp3Split,sp3Place,sp4Split,sp1SplitPlace,sp2SplitPlace,sp3SplitPlace,sp4SplitPlace,sp1SplitTimeString,sp2SplitTimeString,sp3SplitTimeString,sp4SplitTimeString,sp1MarginString,sp2MarginString,sp3MarginString,avgAge,orgName,marginComment,comment,divisionTitle
Men's Club Eights,2012,21,985974,19,1929_1221791515982.png,A,C. Vilanilam,16:25.974,5692,0,0,3130,3130,0.1188,0.1188,19,,,16:25.974,0.00,,0:03.130,0:03.130,19,11.88,11.88,0,,MIT,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,21st,985974,219710,3:39.710,1,0,532525,8:52.525,2,0,816230,13:36.230,3,0,16:25.974,4,0,1,219710,0,312815,0,283705,0,169744,0,0,0,0,3:39.710,5:12.815,4:43.705,2:49.744,,,,19,MIT,,,
Men's Club Eights,2012,22,986490,37,4964_1341999759424.png,A,R. Mawdsley,16:26.490,4946,0,0,520,520,0.1194,0.1194,37,,,16:26.490,0.00,,0:00.520,0:00.520,31,11.94,11.94,0,,British Army,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,22nd,986490,217935,3:37.935,1,0,530617,8:50.617,2,0,807793,13:27.793,3,0,16:26.490,4,0,1,217935,0,312682,0,277176,0,178697,0,0,0,0,3:37.935,5:12.682,4:37.176,2:58.697,,,,31,British Army,,,
Men's Club Eights,2012,23,988873,38,110_1211369522928.png,A,J. Hart,16:28.873,3516,0,0,2380,2380,0.1221,0.1221,38,,,16:28.873,0.00,,0:02.380,0:02.380,20,12.21,12.21,0,,Georgia Tech,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,23rd,988873,217375,3:37.375,1,0,529615,8:49.615,2,0,808736,13:28.736,3,0,16:28.873,4,0,1,217375,0,312240,0,279121,0,180137,0,0,0,0,3:37.375,5:12.240,4:39.121,3:00.137,,,,20,Georgia Tech,,,
Men's Club Eights,2012,24,1004549,4,4805_1338579971374.png,A,C. Helmstetter,16:44.549,3668,0,0,15680,15680,0.1399,0.1399,4,,,16:44.549,0.00,,0:15.680,0:15.680,26,13.99,13.99,0,,George Wash RA,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,24th,1004549,230166,3:50.166,1,0,547253,9:07.253,2,0,831325,13:51.325,3,0,16:44.549,4,0,1,230166,0,317087,0,284072,0,173224,0,0,0,0,3:50.166,5:17.087,4:44.072,2:53.224,,,,26,George Wash RA,,,
Men's Club Eights,2012,25,1014368,22,364_1375215853220.png,A,D. Snowdon,16:54.368,6606,0,0,9820,9820,0.151,0.151,22,,,16:54.368,0.00,,0:09.820,0:09.820,37,15.10,15.10,0,,CRI,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,25th,1014368,232163,3:52.163,1,0,555982,9:15.982,2,0,842508,14:02.508,3,0,16:54.368,4,0,1,232163,0,323819,0,286526,0,171860,0,0,0,0,3:52.163,5:23.819,4:46.526,2:51.860,,,,37,CRI,,,
Men's Club Eights,2012,26,1014806,27,,A,D. Markelov,16:54.806,6084,0,0,440,440,0.1515,0.1515,27,,,16:54.806,0.00,,0:00.440,0:00.440,34,15.15,15.15,0,,Saint-Peterburg,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,26th,1014806,234662,3:54.662,1,0,547017,9:07.017,2,0,834144,13:54.144,3,0,16:54.806,4,0,1,234662,0,312355,0,287127,0,180662,0,0,0,0,3:54.662,5:12.355,4:47.127,3:00.662,,,,34,Saint-Peterburg,,,
Men's Club Eights,2012,27,1017603,34,2308_1221791536471.png,A,T. Fulford-Jones,16:57.603,6106,0,0,2790,2790,0.1547,0.1547,34,,,16:57.603,0.00,,0:02.790,0:02.790,27,15.47,15.47,0,,MITRC,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,27th,1017603,227819,3:47.819,1,0,550023,9:10.023,2,0,836866,13:56.866,3,0,16:57.603,4,0,1,227819,0,322204,0,286843,0,180737,0,0,0,0,3:47.819,5:22.204,4:46.843,3:00.737,,,,27,MITRC,,,
Men's Club Eights,2012,28,1019676,26,162_1211369953066.png,A,L. Kavin,16:59.676,4348,0,0,2080,2080,0.1571,0.1571,26,,,16:59.676,0.00,,0:02.080,0:02.080,20,15.71,15.71,0,,Ithaca,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,28th,1019676,234957,3:54.957,1,0,560192,9:20.192,2,0,843897,14:03.897,3,0,16:59.676,4,0,1,234957,0,325235,0,283705,0,175779,0,0,0,0,3:54.957,5:25.235,4:43.705,2:55.779,,,,20,Ithaca,,,
Men's Club Eights,2012,29,1025025,20,2121_1211508273494.png,A,A. Bruker,17:05.025,4448,0,0,5350,5350,0.1631,0.1631,20,,,17:05.025,0.00,,0:05.350,0:05.350,25,16.31,16.31,0,,King's Crown,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,29th,1025025,233056,3:53.056,1,0,557163,9:17.163,2,0,847639,14:07.639,3,0,17:05.025,4,0,1,233056,0,324107,0,290476,0,177386,0,0,0,0,3:53.056,5:24.107,4:50.476,2:57.386,,,,25,King's Crown,,,
Men's Club Eights,2012,30,1027410,25,62_1211511894905.png,A,F. Confer,17:07.410,403,0,0,2380,2380,0.1658,0.1658,25,,,17:07.410,0.00,,0:02.380,0:02.380,21,16.58,16.58,0,,RIT,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,30th,1027410,231709,3:51.709,1,0,554087,9:14.087,2,0,845997,14:05.997,3,0,17:07.410,4,0,1,231709,0,322378,0,291910,0,181413,0,0,0,0,3:51.709,5:22.378,4:51.910,3:01.413,,,,21,RIT,,,
